0 193 11;
0 195 46;
26707.2 147 74 111;
26707.2 148 62 95;
26707.2 131 72 0;
26890.2 147 72 111;
26890.2 148 72 95;
26890.2 131 83 0;
26890.2 147 76 111;
26890.2 131 71 0;
26890.2 131 74 0;
26890.2 147 84 111;
26890.2 132 71 0;
27073.1 148 69 95;
27073.1 131 72 0;
27073.1 131 76 0;
27073.1 147 72 111;
27073.1 131 84 0;
27073.1 147 69 111;
27073.1 148 60 95;
27073.1 132 62 0;
27073.1 147 81 111;
27073.1 132 72 0;
27438.9 147 72 127;
27438.9 131 72 0;
27438.9 131 69 0;
27438.9 131 81 0;
27438.9 132 60 0;
27438.9 132 69 0;
27438.9 148 57 111;
27438.9 129 52 0;
27438.9 145 50 95;
27438.9 145 62 95;
27438.9 148 62 95;
27438.9 129 64 0;
27438.9 147 76 127;
27438.9 148 72 99;
27438.9 147 84 127;
27804.8 147 71 111;
27804.8 132 62 0;
27804.8 132 72 0;
27804.8 132 57 0;
27804.8 148 71 95;
27804.8 131 84 0;
27804.8 131 72 0;
27804.8 131 76 0;
27804.8 147 74 111;
27804.8 148 60 95;
27804.8 147 83 111;
27987.7 131 71 0;
27987.7 147 72 111;
27987.7 147 84 111;
27987.7 147 76 111;
27987.7 148 72 95;
27987.7 131 74 0;
27987.7 132 71 0;
27987.7 131 83 0;
28170.7 147 69 111;
28170.7 131 76 0;
28170.7 148 69 95;
28170.7 148 59 95;
28170.7 147 81 111;
28170.7 132 60 0;
28170.7 147 72 111;
28170.7 131 72 0;
28170.7 132 72 0;
28170.7 131 84 0;
28536.5 131 69 0;
28536.5 131 81 0;
28536.5 129 62 0 ;
28536.5 145 60 95;
28536.5 147 72 127;
28536.5 147 84 127;
28536.5 147 76 127;
28536.5 132 59 0;
28536.5 148 57 111;
28536.5 148 72 99;
28536.5 148 60 95;
28536.5 132 69 0;
28536.5 131 72 0;
28536.5 145 48 95;
28536.5 129 50 0;
28902.4 147 71 111;
28902.4 148 71 95;
28902.4 148 59 95;
28902.4 132 57 0;
28902.4 132 72 0;
28902.4 147 83 111;
28902.4 131 72 0;
28902.4 131 76 0;
28902.4 147 74 111;
28902.4 132 60 0;
28902.4 131 84 0;
29085.3 132 71 0;
29085.3 131 71 0;
29085.3 131 74 0;
29085.3 131 83 0;
29085.3 147 72 111;
29085.3 147 84 111;
29085.3 147 76 111;
29085.3 148 72 95;
29268.2 132 72 0;
29268.2 131 72 0;
29268.2 131 76 0;
29268.2 147 72 111;
29268.2 131 84 0;
29268.2 147 81 111;
29268.2 148 69 95;
29268.2 148 57 95;
29268.2 147 69 111;
29268.2 132 59 0;
29634.1 147 84 127;
29634.1 129 48 0;
29634.1 145 59 95;
29634.1 148 72 103;
29634.1 131 69 0;
29634.1 131 81 0;
29634.1 129 60 0;
29634.1 132 69 0;
29634.1 132 57 0;
29634.1 131 72 0;
29634.1 147 76 127;
29634.1 147 72 127;
29634.1 148 59 95;
29634.1 145 47 95;
29634.1 148 57 111;
29999.9 148 57 95;
29999.9 147 74 111;
29999.9 147 71 111;
29999.9 147 83 111;
29999.9 131 84 0;
29999.9 131 76 0;
29999.9 132 72 0;
29999.9 132 59 0;
29999.9 132 57 0;
29999.9 131 72 0;
29999.9 148 71 95;
30182.8 148 72 95;
30182.8 132 71 0;
30182.8 131 83 0;
30182.8 131 71 0;
30182.8 147 72 111;
30182.8 147 76 111;
30182.8 147 84 111;
30182.8 131 74 0;
30365.8 147 72 111;
30365.8 148 59 95;
30365.8 132 72 0;
30365.8 147 69 111;
30365.8 148 69 95;
30365.8 131 72 0;
30365.8 131 76 0;
30365.8 131 84 0;
30365.8 132 57 0;
30365.8 147 81 111;
30731.6 131 81 0;
30731.6 132 59 0;
30731.6 148 57 99;
30731.6 148 72 99;
30731.6 148 64 95;
30731.6 145 52 95;
30731.6 145 64 95;
30731.6 145 60 95;
30731.6 132 69 0;
30731.6 129 59 0;
30731.6 129 47 0;
30731.6 147 84 127;
30731.6 147 72 127;
30731.6 147 76 127;
30731.6 131 72 0;
30731.6 131 69 0;
30731.6 145 55 95;
30731.6 145 72 95;
30914.6 129 52 0;
30914.6 129 64 0;
30914.6 129 60 0;
30914.6 129 55 0;
30914.6 129 72 0;
31097.5 148 71 95;
31097.5 147 83 111;
31097.5 131 76 0;
31097.5 147 74 111;
31097.5 145 71 95;
31097.5 148 62 95;
31097.5 147 71 111;
31097.5 132 64 0;
31097.5 132 72 0;
31097.5 132 57 0;
31097.5 131 84 0;
31097.5 131 72 0;
31280.4 147 72 111;
31280.4 148 72 95;
31280.4 132 71 0;
31280.4 131 71 0;
31280.4 147 84 111;
31280.4 147 76 111;
31280.4 129 71 0;
31280.4 145 72 95;
31280.4 131 74 0;
31280.4 131 83 0;
31463.3 132 62 0;
31463.3 148 69 95;
31463.3 131 84 0;
31463.3 131 72 0;
31463.3 145 69 95;
31463.3 129 72 0;
31463.3 148 60 95;
31463.3 147 72 111;
31463.3 147 69 111;
31463.3 147 81 111;
31463.3 132 72 0;
31463.3 131 76 0;
31646.3 129 69 0;
31829.2 131 69 0;
31829.2 145 55 95;
31829.2 145 72 95;
31829.2 147 84 127;
31829.2 132 60 0;
31829.2 132 69 0;
31829.2 148 57 111;
31829.2 131 81 0;
31829.2 148 62 95;
31829.2 145 62 95;
31829.2 145 59 95;
31829.2 147 72 127;
31829.2 147 76 127;
31829.2 131 72 0;
31829.2 148 72 99;
31829.2 145 50 95;
32012.1 129 55 0;
32012.1 129 72 0;
32012.1 129 62 0;
32012.1 129 50 0;
32012.1 129 59 0;
32195 132 57 0;
32195 148 71 95;
32195 148 60 95;
32195 132 72 0;
32195 145 71 95;
32195 147 71 111;
32195 131 72 0;
32195 131 76 0;
32195 132 62 0;
32195 147 74 111;
32195 131 84 0;
32195 147 83 111;
32378 147 76 111;
32378 131 71 0;
32378 148 72 95;
32378 132 71 0;
32378 131 83 0;
32378 129 71 0;
32378 145 72 95;
32378 147 72 111;
32378 147 84 111;
32378 131 74 0;
32560.9 132 72 0;
32560.9 145 69 95;
32560.9 129 72 0;
32560.9 131 72 0;
32560.9 131 76 0;
32560.9 131 84 0;
32560.9 147 69 111;
32560.9 147 81 111;
32560.9 148 69 95;
32560.9 148 59 95;
32560.9 147 72 111;
32560.9 132 60 0;
32743.8 129 69 0;
32926.7 131 69 0;
32926.7 147 76 127;
32926.7 145 55 95;
32926.7 145 48 95;
32926.7 145 60 95;
32926.7 131 72 0;
32926.7 148 60 95;
